objid,specobjid,u,g,r,i,z_mag,z,zErr,velDisp,snMedian,class,subClass,type,petroR50_r,petroR90_r,q_r,u_r,fracDeV_r,flags,plate,mjd,fiberID,ra,dec
1237655493830181000,3.840198575170785e+17,19.59176,18.2159,17.39506,16.92465,16.54741,0.06999004,8.11554e-06,110.3537,11.69121,GALAXY,STARFORMING,3,2.225265,5.919785,0.2466367,-0.1917452,0.8512313,68987912192,341.0,51690.0,320.0,199.153057240414,-3.0750050470127457
1237658299531722936,1.1226176356247409e+18,24.03673,22.53938,22.43972,21.69366,21.51427,0.07528378,2.010819e-05,116.7798,16.14775,GALAXY,,3,0.7360101,1.152197,-0.009476493,0.008701811,0.4765714,105656464053080,997.0,52734.0,347.0,153.10444320199454,6.446973385735794
1237653575057866791,5.1132351646167245e+17,19.79394,17.83304,16.82722,16.33206,15.95156,0.08722178,1.609925e-05,172.5487,20.30717,GALAXY,BROADLINE,3,2.058378,5.495876,0.223086,0.1767602,0.7202981,158398662447104,454.0,51908.0,600.0,37.55842712577845,-8.187362227050556
1237678433791770836,4.843711651986561e+18,19.7559,17.72195,16.69281,16.22261,15.81691,0.08095425,1.739568e-05,146.526,21.09126,GALAXY,,3,2.602985,7.48184,-0.3311883,0.2053255,0.5140616,52845546180624,4302.0,55531.0,328.0,7.789320255894869,1.6388220946777057
1237648721251598645,3.502090499098153e+17,24.83813,23.46011,21.99173,21.52166,20.88007,0.09026965,1.632429e-05,163.0669,23.96009,GALAXY,,6,0.6702669,1.221242,-0.002094561,0.03443138,0.0,193617427824912,311.0,51665.0,197.0,227.66030390852436,-0.0423082709763844
1237658492814688391,6.057566449270282e+18,19.51345,17.47464,16.36687,15.79736,15.33309,0.07791254,1.812126e-05,198.0136,23.40987,GALAXY,,3,3.238522,8.897152,-0.1687548,-0.1501845,0.175312,79792570952,5380.0,55980.0,818.0,176.42941928473104,10.024882242968612
1237678535800652295,4.934852375708195e+18,20.73049,18.79613,17.56716,16.96733,16.49565,0.1332833,2.491258e-05,165.0706,17.09037,GALAXY,,3,2.185708,6.450232,0.2559955,0.02310603,0.9018061,140806476398592,4383.0,55881.0,120.0,321.0453304941876,-2.95483099060645
1237660335334031467,4.516227818392392e+17,23.76907,22.57287,22.54035,22.96539,22.30768,0.05917986,1.119463e-05,170.9724,32.66149,GALAXY,,6,0.4521196,1.172746,-0.1860403,-0.02855545,1.0,316730484330512,401.0,51788.0,498.0,25.5438527979561,0.1247795076451254
1237648705127776529,3.42395644465408e+17,24.84355,23.536,23.22317,22.01114,22.75522,0.06575461,1.640169e-05,118.8184,12.46159,GALAXY,STARFORMING,6,0.5211495,0.9745252,-0.06062263,-0.15561,0.0,105624285348112,304.0,51609.0,444.0,215.00100428813295,0.56066539666127
1237674603216699677,3.41184807385983e+17,23.39641,24.17771,23.21965,22.98636,23.13233,0.03838747,2.709219e-05,77.31429,11.47237,GALAXY,,6,0.4787296,1.091622,-0.04352112,0.193775,1.0,105622137868560,303.0,51615.0,135.0,213.75703592691696,-0.8599817135694635
